pays;code;ville;societe;activite;site;email repere;telephone repere;note commerciale;statut
Allemagne;DE;Wentorf bei Hamburg;HANSEATA Flachglas — Ges. für Überseehandel;Gros de verre plat et commerce d outre-mer depuis 1953;hanseata.de;info@hanseata.de;+49 40 729 0700;SOCIETE DE COMMERCE D OUTRE-MER SPECIALISEE VERRE PLAT depuis 1953 : profil importateur conteneur ideal. Port Hambourg, envoi en allemand.;ENVOYE 2026-09-25
Angola;AO;Luanda (Kikolo, Cacuaco);FVK — Fabrica de Vidros do Kikolo;Trempe et double vitrage, premiere usine de trempe d'Angola;fvk.co.ao;comercial@fvk.co.ao;+244 938 879 166;PREMIERE ET SEULE USINE DE TREMPE D'ANGOLA (groupe ANP) — four de trempe et ligne double vitrage. Adresse email non publiee en clair : appeler. Port Luanda. Avenida N Gola Kilwange, Kikolo, Cacuaco, Luanda. Port Luanda, envoi en portugais.;ENVOYE 2026-09-25
Arabie saoudite;SA;—;Obeikan Glass;Producteur float, 800 t/jour;;;;PRODUCTEUR DE FLOAT — concurrent, ne pas démarcher sur le float clair.;
Arabie saoudite;SA;Asfan, zone industrielle;Asdam Technical Glass Company;Transformation de verre et fabrication aluminium;asdamglass.com;info@asdamglass.com;+966 54 504 7777;Usine intégrée avec ligne de trempe et équipements de vitrage isolant, cibler float et Low-E. Port Djeddah, envoi en arabe.;ENVOYE 2026-09-23
Arabie saoudite;SA;Dammam;Saber Group;Transformation et distribution de verre et miroirs;sabergroup.com.sa;info@sabergroup.com.sa;+966 9200 01968;Usine à Dammam et implantations dans l'Est, à Riyad et Tabuk, cibler miroir et verre décoratif. Port Dammam, envoi en arabe.;ENVOYE 2026-09-23
Arabie saoudite;SA;Dammam;Safwa Glass;Trempé, feuilleté, double vitrage;safwaglass.com;;;Zone Est, proche du port de Dammam.;
Arabie saoudite;SA;Djeddah (Bani Malik);Abu Sarhad Glass Shaping Factory;Trempé, façade, feuilleté pare-balles;abusarhadhc.sa;info@abusarhadgroup.com;;Groupe Abu Sarhad — pare-balles et façade. Prévoir la conformité SASO/SABER. Port Djeddah.;ENVOYE 2026-09-23
Arabie saoudite;SA;Djeddah et Riyad;Al-Manna;Trempe sur fours Glaston FC500;;;;Four de trempe identifié : acheteur de float régulier.;
Arabie saoudite;SA;Djeddah et Riyad;Safa Taiba Glass Factory;Transformation, showrooms Djeddah et Riyad;safataiba.sa;info@safataiba.sa;+966 59 053 9394;Réseau multi-sites.;ENVOYE 2026-09-22
Arabie saoudite;SA;Djeddah, Al Rayaan;Abdullah Salem Al Jadaani Glass Factory;Fabrication de verre trempé et isolant;jadaaniglass.com;sales@jadaaniglass.com;+966 50 458 0221;Transformateur certifié Guardian avec trempe et vitrage isolant, cibler float et Low-E. Port Djeddah, envoi en arabe.;ENVOYE 2026-09-23
Arabie saoudite;SA;Djeddah, troisième zone industrielle;IKK Glass;Transformation de verre trempé, feuilleté et isolant;ikkglass.com;info.ikkglass@ikkgroup.com;;Four de trempe horizontal et fabrication de vitrages isolants, cibler float et Low-E. Port Djeddah, envoi en arabe.;ENVOYE 2026-09-23
Arabie saoudite;SA;Djeddah;Samyat Glass (Al Samayat);Transformation, usine 2014, 300 000 m²/an;alsamayat.com;;;Capacité connue : dimensionner l'offre en conteneurs complets.;
Arabie saoudite;SA;Haïl, Modon;Al Tbaynawi Glass;Transformation de verre trempé et isolant;altbaynawi.com;;+966 16 532 5322;Four Glaston et ligne de vitrage isolant LiSEC, trempe annoncée de 1600 m² par 10 heures. Pas d adresse publiee : appeler. Port Dammam.;A APPELER
Arabie saoudite;SA;Jizan, zone industrielle 1;Region Glass Factory;Transformation industrielle de verre architectural;rgf.sa;info@rgf.sa;+966 17 323 8080;Usine assurant la trempe avec contrôle des cycles, cibler float et contrôle solaire. Port Jizan, envoi en arabe.;ENVOYE 2026-09-23
Arabie saoudite;SA;Riyad (2e cite industrielle);Al Watania for Industries;Groupe industriel, division verre;wataniaind.com;info@wataniaind.com;+966 11 498 0088;Groupe classe au top 100 saoudien : volume.;ENVOYE 2026-09-23
Arabie saoudite;SA;Riyad / Sudair;Komate Glass;Verre trempe certifie, impression numerique TecGlass;komate.sa;sales@komate.sa;+966 11 448 3444;Usine recente a Sudair, equipement haut de gamme.;ENVOYE 2026-09-23
Arabie saoudite;SA;Riyad, Badr;Alfa Star Glass;Transformation de verre trempé et isolant;alfastarglass.com;info@alfastarglass.com;+966 536 373 747;Usine avec ligne de trempe horizontale et ligne de double vitrage, cibler float. Port Dammam, envoi en arabe.;ENVOYE 2026-09-23
Arabie saoudite;SA;Riyad, deuxième cité industrielle;Al Andalus Glass Factory Co.;Transformation de verre trempé, feuilleté et isolant;andalusglass.com;info@andalusglass.com;+966 11 265 0908;Deux usines et une division négoce, lignes de trempe, feuilletage et vitrage isolant. Port Dammam, envoi en arabe.;ENVOYE 2026-09-23
Arabie saoudite;SA;Riyad, deuxième cité industrielle;Glasshouse Company Ltd.;Transformation de vitrage isolant sur mesure;glasshouse.com.sa;;+966 11 498 5959;Site de 10468 m² et deux lignes de production, près de 200000 m² de verre par an annoncés. Pas d adresse publiee : appeler. Port Dammam.;A APPELER
Arabie saoudite;SA;Riyad, Qassim, Djeddah, Khamis Mushait;Barrak Glass Factories;Quatre usines de transformation;barrakglass.com;;;Groupe Al-Barrak. Volume important.;
Arabie saoudite;SA;Riyad, troisième cité industrielle;Almanco Factory;Fabrication de façades aluminium et verre;almanco.com;info@almanco.com;+966 11 265 0065;Branche industrielle d'Almanee disposant d'une usine de façades, cibler vitrages de contrôle solaire. Port Dammam, envoi en arabe.;ENVOYE 2026-09-23
Arabie saoudite;SA;Riyad, zone industrielle Al Kharj Road;Alqasr Glass and Aluminum Factory;Transformation et distribution de verre architectural;alqasrglass.com;info@alqasrglass.com;+966 11 499 7777;Implantations à Riyad, Djeddah, Qassim, Dammam et Médine, cibler miroir et verre architectural. Port Dammam, envoi en arabe.;ENVOYE 2026-09-23
Arabie saoudite;SA;Riyad;Al Ashoury Glass;Département verre depuis 1988, 5 agences;alashoury-glass.com;;;Réseau national, profil négociant-transformateur.;
Argentine;AR;Capilla del Señor, Buenos Aires;Herramaq Argentina;Production et negoce de verre plat pour la construction, plus de 30 ans;herramaq.com.ar;;+54 2323 473460;Transformateur verre plat trempe 4 a 19 mm. Adresse email trouvee mais sur un domaine different du site : appeler pour confirmer. Port Buenos Aires.;A APPELER
Argentine;AR;Lomas del Mirador, Buenos Aires;Unionglass;Decoupe et optimisation de verre national ET IMPORTE;unionglass.com.ar;ventas@unionglass.com.ar;;Se declare sur le verre national et importe : profil importateur confirme. Port Buenos Aires, envoi en espagnol.;ENVOYE 2026-09-24
Aruba;AW;Oranjestad (Barcadera);Mexim Aruba;Fenetres et portes aluminium, verre sur mesure;meximcaribbean.com;info@meximaruba.com;+297 585 0051;Marche insulaire 100 pour cent importateur, forte demande hoteliere. Port Oranjestad, envoi en anglais.;ENVOYE 2026-09-24
Aruba;AW;Oranjestad;Aluglas Aruba;Fenetres, portes, clotures et portes de garage aluminium;aluglassaruba.com;info@aluglassaruba.com;;Fabricant local aluminium-verre. Port Oranjestad. Port Oranjestad, envoi en anglais.;ENVOYE 2026-09-25
Australie;AU;Adélaïde;Australian Glass and Glazing;Verre et vitrage;auglass.com.au;sales@auglass.com.au;+61 8 8382 9919;Verrier d Adelaide. Port Adelaide, envoi en anglais.;ENVOYE 2026-09-25
Australie;AU;Couverture nationale;Glass House AU;Verre sur mesure, trempe, feuillete, float, miroir;glasshouseau.com;info@glasshouseau.com;;Livre Melbourne, Sydney, Adelaide, Brisbane, Perth et Gold Coast. Port au choix, envoi en anglais.;ENVOYE 2026-09-25
Australie;AU;Gold Coast et Brisbane;Trade Glass;Fourniture et services verriers pour les professionnels;tradeglass.com.au;info@tradeglass.com.au;;Fournisseur verrier orientee negoce sur le Queensland. Port Brisbane, envoi en anglais.;ENVOYE 2026-09-25
Australie;AU;Jesmond (Newcastle) NSW;TuffCo Glass;Negoce, transformation et fabrication de verre pour vitriers et industriels;tuffcoglass.com.au;sales@tuffcoglass.com.au;+61 1300 883 326;Grossiste verre plat NSW, deux sites Jesmond et Coffs Harbour, stock float et feuillete revendu aux vitriers. Port Botany (Sydney), envoi en anglais.;ENVOYE 2026-09-24
Australie;AU;Malaga WA;Glass Australia Pty Ltd;Grossiste verre plat, verre decoratif et imprime;glassaustralia.com;;;Grossiste national verre plat et verre imprime, 381 Victoria Road Malaga. Aucune adresse email publiee : formulaire seulement. Port Fremantle.;A QUALIFIER
Autriche;AT;Linz;Glas-Khemeter;Façonnage de verre plat et vitrerie;glaserei-linz.at;office@glaskhemeter.at;;Pays enclave : transit par Hambourg, Koper ou Rijeka. Envoi en allemand.;ENVOYE 2026-09-25
Azerbaïdjan;AZ;Bakou;Glass House LLC;Negoce et transformation de verre;glasshouse.az;office@glasshouse.az;;Zarife Aliyeva 55 Bakou. Pays sans acces maritime ouvert : transit via Poti puis route. Envoi en anglais.;ENVOYE 2026-09-24
Azerbaïdjan;AZ;Bakou;Glasstech;Transformation de verre et facades;glasstech.az;info@glasstech.az;;Transformateur verre Bakou. Pays sans acces maritime ouvert : transit via Poti puis route. Envoi en anglais.;ENVOYE 2026-09-24
Bahamas;BS;Nassau (Carmichael Road);Glass Suppliers & Installers Ltd;Fourniture et pose de verre;gsibahamas.com;larada@gsibahamas.com;+1 242 341 2048;Marche insulaire 100 pour cent importateur, forte demande verre anti-ouragan. Port Nassau, envoi en anglais.;ENVOYE 2026-09-24
Bahamas;BS;Nassau;Nassau Glass Company / Bahamas Aluminum Manufacturing;Premiere verrerie des Bahamas et premier fabricant local de menuiserie aluminium;nassauglass.com;;;Le plus gros du pays avec sa societe soeur Bahamas Aluminum. Aucune adresse email publiee : a rappeler. Port Nassau.;A APPELER
Bahreïn;BH;Al Hidd (BIIP);Glasstech Industries B.S.C;Trempe, CNC, bombe, isolant, lamination, impression numerique;glasstechgulf.com;sales@glasstechgulf.com;+973 1746 4418;GROS TRANSFORMATEUR : le principal processeur du Bahrein.;ENVOYE 2026-09-23
Bahreïn;BH;Al Hidd;Bahrain Prism Glass Factory WLL;Transformation architecturale : trempe, double vitrage, feuilleté, sérigraphie, sablage;prismbahrain.com;info@prismbahrain.com;+973 1746 4000;Transformateur complet, zone portuaire de Hidd. ADRESSE REBONDIE : rappeler au +973 1746 4000.;ADRESSE INVALIDE
Bahreïn;BH;Hidd, zone industrielle;Shafiq Glass & Art Frames Center W.L.L.;Fabrication de verre architectural et systèmes aluminium;shafiqglass.com;info@shafiqglass.com;+973 1773 2091;Deux sites industriels totalisant 10700 m² et plus de 200 professionnels annoncés. Port Khalifa Bin Salman, envoi en arabe.;ENVOYE 2026-09-23
Bahreïn;BH;Salmabad;Abdulla Khamees Glass & Mirrors;Verre et miroiterie;abdullakhameesglass.net;abdullakhameesglass@gmail.com;+973 1778 4554;Miroitier établi.;ENVOYE 2026-09-22
Bangladesh;BD;Dhaka (Baridhara);Nasir Float Glass Industries Ltd;Production et negoce de verre float;nasirgroup.com.bd;;;Groupe Nasir, float local et negoce. Aucune adresse email publiee trouvee : a rappeler. Port Chattogram.;A APPELER
Bangladesh;BD;Dhaka (Gulshan);New Thai Aluminium & Glass Co. Ltd;Import, distribution et fabrication de verre et aluminium pour le batiment;tagbd.com;info@tagbd.com;+880 2 8853433;Importateur-distributeur historique verre et aluminium, Hosna Center Gulshan Avenue. Port Chattogram, envoi en anglais.;ENVOYE 2026-09-24
Barbade;BB;Barbade;Jubilee Suppliers Ltd;Verre, miroirs et amenagement depuis plus de 35 ans;;;;Reference du verre et du miroir a la Barbade. Aucune adresse email publiee : a rappeler. Port Bridgetown.;A APPELER
Barbade;BB;Bridgetown (Harbour Industrial Park);Oran Limited;Fenetres et portes aluminium et PVC, residentiel et commercial;oranltd.com;;;Fabricant menuiserie alu-PVC sur le parc industriel du port. Aucune adresse email publiee : a rappeler. Port Bridgetown.;A APPELER
Belgique;BE;Eernegem (Flandre-Occidentale);Glashandel Lievens;Negoce de verre depuis 1980;glaslievens.be;info@glaslievens.be;+32 59 29 95 77;Miroirs, parois de douche, coupoles. Port Anvers ou Zeebruges, envoi en neerlandais.;ENVOYE 2026-09-25
Belgique;BE;Ekeren (Anvers);Lauryssens Glas;Grossiste verrier independant;lauryssens.be;;+32 3 660 13 87;Leugenberg 208. Grossiste independant servant entreprises et particuliers. Seule une adresse comptable est publiee : appeler le service commercial.;A APPELER
Belize;BZ;Spanish Lookout et Santa Elena;All Season Glass Shop;Portes et fenetres verre, vitrerie;spanishlookout.bz;allseasonglass.bz@gmail.com;+501 823 0432;Deux sites, Duck Run 3 Spanish Lookout et Western Highway Santa Elena. Port Belize City, envoi en anglais.;ENVOYE 2026-09-25
Bénin;BJ;Cotonou (Tokpa Hoho);ALUTRACO;Aluminium, alucobond et accessoires, distribue sur le Togo, le Burkina, le Mali et le Niger;alutraco.org;;+229 01 67 07 07 12;Distributeur regional multi-pays : bon relais pour toute l Afrique de l Ouest. L adresse infos@alutraco.com publiee en ligne a REBONDI le 24/09, le site est en .org : appeler pour obtenir la bonne adresse. Port Cotonou.;A APPELER
Bénin;BJ;Cotonou;ECOMA Benin;Conception, fabrication et pose de menuiserie aluminium depuis plus de 40 ans;ecomabenin.com;;;Menuisier aluminium historique de Cotonou. Aucune adresse email publiee : a rappeler. Port Cotonou.;A APPELER
Bermudes;BM;Pembroke (Hamilton);Island Glass Ltd;Premier fournisseur de verre, portes et fenetres des Bermudes;islandglass.bm;sales@islandglass.bm;+1 441 295 5134;LE PLUS GROS DU PAYS : vitrage de specialite et protection anti-ouragan. Argument feuillete PVB SGP. Port Hamilton, envoi en anglais.;ENVOYE 2026-09-25
Bermudes;BM;Pembroke;Commercial Glass & Aluminium Co. Ltd;Verre et aluminium pour le batiment;cgabermuda.bm;info@cgabermuda.bm;;15 Cox s Hill Road. Marche insulaire 100 pour cent importateur. Port Hamilton, envoi en anglais.;ENVOYE 2026-09-25
Birmanie;MM;Rangoun (South Okkalapa);Top Myanmar Aluminium Trading Co. Ltd;Negoce gros et detail d aluminium et de composite;;;;Negociant aluminium de Rangoun, No 36 Waizayantar Road. Aucune adresse email publiee : a rappeler. Port Rangoun.;A APPELER
Birmanie;MM;Rangoun;Central Aluminium;Aluminium, verre, composite, inox et plafonds depuis 1996;centralaluminium.net;;;Entreprise de decoration et facade active depuis 1996. Aucune adresse email publiee : a rappeler. Port Rangoun.;A APPELER
Bolivie;BO;La Paz et Santa Cruz;Rojas Glass;Distribution de verre brut, trempe, profiles aluminium et accessoires;rojasglass.com.bo;marketing@rojasglass.com.bo;+591 77009258;40 ans de metier, distribue du VERRE BRUT : profil acheteur de conteneur. Pays enclave, transit via Arica ou Iquique. Envoi en espagnol.;ENVOYE 2026-09-24
Bosnie-Herzégovine;BA;Banja Luka;Siat d.o.o.;Façonnage de verre et de miroirs;;siat@blic.net;+387 51 450 223;Veljka Mlađenovića bb (krug Incela). Transit par Ploce ou Rijeka, envoi en serbo-croate.;ENVOYE 2026-09-25
Botswana;BW;Gaborone (Gaborone West Industrial);Glazing Botswana;Négoce de verre, profiles aluminium, miroirs, portes coulissantes;glazingbotswana.com;sales@glazingbotswana.com;;Se presente en distributeur (dealers in glass). Pays enclave : transit par Walvis Bay ou Durban. Envoi en anglais.;ENVOYE 2026-09-25
Botswana;BW;Gaborone;PG Glass Botswana;Verre batiment et pose;pgglassafrica.com;richard@pgglass.co.bw;+267 395 2901;Plot 4792 Old Lobatse Rd Industrial. Pays enclave : transit via Walvis Bay ou Durban puis route. Envoi en anglais.;ENVOYE 2026-09-24
Brésil;BR;Guarulhos, Sao Paulo;Fortal Vidros Temperados;Verre trempe, couverture nationale;fortalvidros.com.br;;;Trempeur de Guarulhos livrant tout le Bresil. Aucune adresse email publiee : a rappeler. Port Santos.;A APPELER
Brésil;BR;Parana, Santa Catarina, Sao Paulo, Bahia, Ceara;New Glass;Import, transformation et distribution de verre depuis 2007;newglasschaparia.com.br;;;CIBLE MAJEURE : IMPORTE DE PLUS DE 20 PAYS, sept centres de distribution dans cinq Etats. Float, feuillete, imprime, trempe en stock. Aucune adresse email publiee, contact par WhatsApp sur le site. Port Santos ou Paranagua.;A APPELER
Brésil;BR;Sao Paulo (Jaguare);Divinal Vidros;Distribution et transformation de verre plat et miroirs depuis 1953;divinalvidros.com.br;comunicacao@divinalvidros.com.br;+55 11 2827 2100;DISTRIBUTEUR HISTORIQUE (1953), sites SP et Belo Horizonte. Float local : viser Low-E, miroir et formats jumbo. Port Santos.;ENVOYE 2026-09-23
Brésil;BR;Sao Paulo;NSA Vidros;Distribution de verre trempe, feuillete, miroirs et profiles aluminium;nsacomerciodevidros.com.br;;;Distributeur verre et accessoires de vitrage. Aucune adresse email publiee : a rappeler. Port Santos.;A APPELER
Brunei;BN;Bandar Seri Begawan (Beribi Industrial Complex II);Sincere Aluminium Group;Aluminium et verre;sincerealugroup.com;sincere@sincerealugroup.com;+673 244 4913;Groupe aluminium-verre sur zone industrielle de Gadong. Port Muara, envoi en anglais.;ENVOYE 2026-09-24
Brunei;BN;Bandar Seri Begawan (Beribi);Wing Wah Glass & Aluminium;Verre et aluminium pour le batiment;wingwahbrunei.com;wingwah.bn@gmail.com;+673 244 8412;Lot 14315 Jalan Beribi. Port Muara, envoi en anglais.;ENVOYE 2026-09-24
Bulgarie;BG;Plovdiv;Baros Glass;Producteur de verre pour garde-corps;barosglass.com;sales@barosglass.com;;Spécialiste garde-corps : consomme du trempé et du feuilleté en continu.;ENVOYE 2026-09-22
Bulgarie;BG;Sofia;GMT Bulgaria;Distribution de verre plat;glassbg.eu;gmt_bulgaria@glassbg.com;+359 887 209 869;10 Nedelcho Bonchev, Gara Iskar. Port Varna, envoi en anglais.;ENVOYE 2026-09-25
Bulgarie;BG;Varna;Kristal 90C;Gros et detail de float, verre imprime et miroirs;kristal90c.com;kristal@kristal90c.com;+359 52 504 533;Stock permanent de float de 3 a 19 mm : profil d'importateur. Port Varna, envoi en anglais.;ENVOYE 2026-09-25
Burkina Faso;BF;Bobo-Dioulasso et Ouagadougou;VMAEF — Vitrerie Menuiserie Aluminium Excellence du Faso;Vitrerie batiment, menuiserie aluminium, alucobond, murs rideaux et vente de materiaux;vmaef.net;contact@vmaef.net;+226 70 00 20 10;Leader de la vitrerie au Burkina, vend aussi les materiaux : profil revendeur. Pays enclave, transit via Abidjan, Lome ou Tema. Envoi en francais.;ENVOYE 2026-09-24
Burkina Faso;BF;Ouagadougou;Vitrafa;Vitrerie et menuiserie aluminium;vitrafa.com;vitrafa@gmail.com;+226 69 36 01 01;Concurrent direct de VMAEF sur Ouagadougou. Transit via Abidjan ou Lome. 123 Avenue Loudun, Ouagadougou. Pays enclave : transit par Abidjan, Lome ou Tema. Envoi en francais.;ENVOYE 2026-09-25
Cambodge;KH;Phnom Penh (Chamkarmon);KJKs Aluminum;Aluminium, verre et panneaux composites pour le batiment;kjksgroup.com;infokjks@yahoo.com;;Groupe aluminium-verre de Phnom Penh, 79-83 Street 388 Toul Svay Prey. Port Sihanoukville, envoi en anglais.;ENVOYE 2026-09-24
Cambodge;KH;Phnom Penh;Phnompenh Glass;Fourniture et pose de verre, trempe et feuillete;phnompenhglass.com;phnompenhglass@gmail.com;;A qualifier sur la capacite a importer au conteneur. Port Sihanoukville.;ENVOYE 2026-09-24
Cameroun;CM;Douala (Bepanda);AFRICALU Sarl;Menuiserie aluminium et vitrage;;philoti@yahoo.fr;+237 2 33 40 58 38;1153 Av. de Bepanda BP 13002. Port de Douala. Mini-mail sur mesure FR;A APPELER
Cameroun;CM;Douala (Bepanda);LOWA VITRERIE;Vitrerie;;lowavitrerie@yahoo.fr;+237 2 33 40 21 30;Vitrier-negociant sur Douala.;ENVOYE 2026-09-23
Cameroun;CM;Douala (Bepanda);MAISON VERRE;Vitrerie miroiterie;;maisonverre@gmail.com;+237 6 97 40 19 96;A qualifier, port de Douala.;ENVOYE 2026-09-23
Cameroun;CM;Douala (Bonaberi);BATALU VERRE;Vitrerie miroiterie;;kometayembu@yahoo.fr;+237 6 77 40 88 50;Sur Douala, premier port d'Afrique centrale.;ENVOYE 2026-09-23
Cameroun;CM;Douala (Deido);ALUBAT-CAM Sarl;Menuiserie aluminium et vitrage;;lubatcam@yahoo.fr;+237 2 33 40 34 06;116 Rue Deido Bonanjo BP 8488. Port de Douala. Mini-mail sur mesure FR;A APPELER
Cameroun;CM;Douala (Sodiko);COMALU;Miroiterie et aluminium;;comalu2001@yahoo.fr;+237 2 33 39 19 23;Maison etablie, port de Douala.;ENVOYE 2026-09-23
Cameroun;CM;Douala;ETS Verrerie et Menuiserie Aluminium;Fabrication portes fenetres et ouvrages alu;;Yvesdaquin@gmail.com;+237 6 95 02 47 87;Fabricant portes-fenetres alu. Angle propose : 20 pieds pour demarrer. Port de Douala. Mini-mail sur mesure FR;A APPELER
Cameroun;CM;Yaoundé (Mvog-Ada);SOBAF Sarl;Menuiserie aluminium et vitrage;;sobafsarl@yahoo.fr;+237 2 22 22 67 78;830 Rue 1.206 BP 13303. Transit port de Douala puis route Yaounde. Mini-mail sur mesure FR;ENVOYE 2026-09-25
Cameroun;CM;Yaoundé (Omnisport);METALUX;Menuiserie aluminium et vitrage;;matalux.yaounde@yahoo.fr;+237 2 22 21 30 30;Rue 1.074 BP 13015. Transit port de Douala. Mini-mail sur mesure FR;A APPELER
Canada;CA;Georgetown (Halton Hills), Ontario;Kuta Glass Accessories Ltd;Grossiste verre decoratif et accessoires depuis 1980;kutaglass.com;;+1 905 873 8800;Grossiste national verre decoratif pour fabricants de portes vitrees et studios. Aucune adresse email publiee : appeler. Port Montreal.;A APPELER
Canada;CA;Vaughan (Toronto), Ontario;IGD — Independent Glass Distributors Ltd;Distribution de verre et accessoires, sept centres de distribution de la C.-B. a l Ontario;igdglass.com;;+1 905 660 4661;Reseau national de distribution verriere, sept plateformes. Aucune adresse email publiee : appeler. Port Montreal pour l Est, Vancouver pour l Ouest.;A APPELER
